"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","061030007021","CA","061030007021","=""061030007021""","92.38","2019-2023","2022","Census","California (State)"
"Block Group","061030007022","CA","061030007022","=""061030007022""","95.83","2019-2023","2022","Census","California (State)"
"Block Group","061030008001","CA","061030008001","=""061030008001""","70.76","2019-2023","2022","Census","California (State)"
"Block Group","061030008002","CA","061030008002","=""061030008002""","72.15","2019-2023","2022","Census","California (State)"
"Block Group","061030008003","CA","061030008003","=""061030008003""","88.06","2019-2023","2022","Census","California (State)"
"Block Group","061030008004","CA","061030008004","=""061030008004""","77.31","2019-2023","2022","Census","California (State)"
"Block Group","061030009001","CA","061030009001","=""061030009001""","79.89","2019-2023","2022","Census","California (State)"
"Block Group","061030009002","CA","061030009002","=""061030009002""","79.17","2019-2023","2022","Census","California (State)"
"Block Group","061030009003","CA","061030009003","=""061030009003""","80.89","2019-2023","2022","Census","California (State)"
"Block Group","061030010001","CA","061030010001","=""061030010001""","92.49","2019-2023","2022","Census","California (State)"
"Block Group","061030010002","CA","061030010002","=""061030010002""","77.42","2019-2023","2022","Census","California (State)"
"Block Group","061030010003","CA","061030010003","=""061030010003""","98.17","2019-2023","2022","Census","California (State)"
"Block Group","061030010004","CA","061030010004","=""061030010004""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061030011011","CA","061030011011","=""061030011011""","93.95","2019-2023","2022","Census","California (State)"
"Block Group","061030011012","CA","061030011012","=""061030011012""","69.63","2019-2023","2022","Census","California (State)"
"Block Group","061030011021","CA","061030011021","=""061030011021""","91.74","2019-2023","2022","Census","California (State)"
"Block Group","061030011022","CA","061030011022","=""061030011022""","93.91","2019-2023","2022","Census","California (State)"
"Block Group","061030011023","CA","061030011023","=""061030011023""","85.47","2019-2023","2022","Census","California (State)"
"Block Group","061030011024","CA","061030011024","=""061030011024""","87.50","2019-2023","2022","Census","California (State)"
"Block Group","061050001011","CA","061050001011","=""061050001011""","68.67","2019-2023","2022","Census","California (State)"
"Block Group","061050001012","CA","061050001012","=""061050001012""","84.20","2019-2023","2022","Census","California (State)"
"Block Group","061050001013","CA","061050001013","=""061050001013""","89.71","2019-2023","2022","Census","California (State)"
"Block Group","061050001021","CA","061050001021","=""061050001021""","60.59","2019-2023","2022","Census","California (State)"
"Block Group","061050001022","CA","061050001022","=""061050001022""","94.04","2019-2023","2022","Census","California (State)"
"Block Group","061050001023","CA","061050001023","=""061050001023""","40.28","2019-2023","2022","Census","California (State)"
"Block Group","061050002001","CA","061050002001","=""061050002001""","48.88","2019-2023","2022","Census","California (State)"
"Block Group","061050002002","CA","061050002002","=""061050002002""","80.12","2019-2023","2022","Census","California (State)"
"Block Group","061050005001","CA","061050005001","=""061050005001""","44.95","2019-2023","2022","Census","California (State)"
"Block Group","061050005002","CA","061050005002","=""061050005002""","71.71","2019-2023","2022","Census","California (State)"
"Block Group","061050005003","CA","061050005003","=""061050005003""","74.13","2019-2023","2022","Census","California (State)"
"Block Group","061050005004","CA","061050005004","=""061050005004""","78.29","2019-2023","2022","Census","California (State)"
"Block Group","061070001011","CA","061070001011","=""061070001011""","75.47","2019-2023","2022","Census","California (State)"
"Block Group","061070001012","CA","061070001012","=""061070001012""","84.28","2019-2023","2022","Census","California (State)"
"Block Group","061070001021","CA","061070001021","=""061070001021""","65.79","2019-2023","2022","Census","California (State)"
"Block Group","061070001022","CA","061070001022","=""061070001022""","93.86","2019-2023","2022","Census","California (State)"
"Block Group","061070002021","CA","061070002021","=""061070002021""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061070002022","CA","061070002022","=""061070002022""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061070002023","CA","061070002023","=""061070002023""","91.87","2019-2023","2022","Census","California (State)"
"Block Group","061070002031","CA","061070002031","=""061070002031""","90.63","2019-2023","2022","Census","California (State)"
"Block Group","061070002032","CA","061070002032","=""061070002032""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061070002033","CA","061070002033","=""061070002033""","96.33","2019-2023","2022","Census","California (State)"
"Block Group","061070002041","CA","061070002041","=""061070002041""","94.32","2019-2023","2022","Census","California (State)"
"Block Group","061070002042","CA","061070002042","=""061070002042""","95.25","2019-2023","2022","Census","California (State)"
"Block Group","061070003021","CA","061070003021","=""061070003021""","79.09","2019-2023","2022","Census","California (State)"
"Block Group","061070003022","CA","061070003022","=""061070003022""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061070003023","CA","061070003023","=""061070003023""","83.33","2019-2023","2022","Census","California (State)"
"Block Group","061070003031","CA","061070003031","=""061070003031""","83.82","2019-2023","2022","Census","California (State)"
"Block Group","061070003032","CA","061070003032","=""061070003032""","96.84","2019-2023","2022","Census","California (State)"
"Block Group","061070003033","CA","061070003033","=""061070003033""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061070003041","CA","061070003041","=""061070003041""","74.12","2019-2023","2022","Census","California (State)"
"Block Group","061070003042","CA","061070003042","=""061070003042""","90.00","2019-2023","2022","Census","California (State)"
"Block Group","061070003043","CA","061070003043","=""061070003043""","93.35","2019-2023","2022","Census","California (State)"
