"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060871103022","CA","060871103022","=""060871103022""","17699.77","2019-2023","2022","Census","California (State)"
"Block Group","060871104011","CA","060871104011","=""060871104011""","4604.65","2019-2023","2022","Census","California (State)"
"Block Group","060871104012","CA","060871104012","=""060871104012""","1479.07","2019-2023","2022","Census","California (State)"
"Block Group","060871104021","CA","060871104021","=""060871104021""","3040.12","2019-2023","2022","Census","California (State)"
"Block Group","060871104022","CA","060871104022","=""060871104022""","10646.29","2019-2023","2022","Census","California (State)"
"Block Group","060871104023","CA","060871104023","=""060871104023""","5739.73","2019-2023","2022","Census","California (State)"
"Block Group","060871105031","CA","060871105031","=""060871105031""","11000.21","2019-2023","2022","Census","California (State)"
"Block Group","060871105032","CA","060871105032","=""060871105032""","5979.33","2019-2023","2022","Census","California (State)"
"Block Group","060871105041","CA","060871105041","=""060871105041""","15228.09","2019-2023","2022","Census","California (State)"
"Block Group","060871105051","CA","060871105051","=""060871105051""","10369.41","2019-2023","2022","Census","California (State)"
"Block Group","060871105052","CA","060871105052","=""060871105052""","14696.26","2019-2023","2022","Census","California (State)"
"Block Group","060871105061","CA","060871105061","=""060871105061""","7712.99","2019-2023","2022","Census","California (State)"
"Block Group","060871105062","CA","060871105062","=""060871105062""","13105.93","2019-2023","2022","Census","California (State)"
"Block Group","060871106011","CA","060871106011","=""060871106011""","6472.49","2019-2023","2022","Census","California (State)"
"Block Group","060871106012","CA","060871106012","=""060871106012""","6931.96","2019-2023","2022","Census","California (State)"
"Block Group","060871106021","CA","060871106021","=""060871106021""","12612.60","2019-2023","2022","Census","California (State)"
"Block Group","060871107001","CA","060871107001","=""060871107001""","2209.68","2019-2023","2022","Census","California (State)"
"Block Group","060871107002","CA","060871107002","=""060871107002""","1179.92","2019-2023","2022","Census","California (State)"
