"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","060670085052","CA","060670085052","=""060670085052""","69351","2019-2023","2022","Census","California (State)"
"Block Group","060670085061","CA","060670085061","=""060670085061""","40336","2019-2023","2022","Census","California (State)"
"Block Group","060670085062","CA","060670085062","=""060670085062""","55376","2019-2023","2022","Census","California (State)"
"Block Group","060670085063","CA","060670085063","=""060670085063""","57894","2019-2023","2022","Census","California (State)"
"Block Group","060670085071","CA","060670085071","=""060670085071""","70828","2019-2023","2022","Census","California (State)"
"Block Group","060670085072","CA","060670085072","=""060670085072""","63168","2019-2023","2022","Census","California (State)"
"Block Group","060670085081","CA","060670085081","=""060670085081""","71312","2019-2023","2022","Census","California (State)"
"Block Group","060670085082","CA","060670085082","=""060670085082""","90793","2019-2023","2022","Census","California (State)"
"Block Group","060670085083","CA","060670085083","=""060670085083""","62999","2019-2023","2022","Census","California (State)"
"Block Group","060670085084","CA","060670085084","=""060670085084""","89412","2019-2023","2022","Census","California (State)"
"Block Group","060670085091","CA","060670085091","=""060670085091""","64504","2019-2023","2022","Census","California (State)"
"Block Group","060670085092","CA","060670085092","=""060670085092""","67101","2019-2023","2022","Census","California (State)"
"Block Group","060670085093","CA","060670085093","=""060670085093""","80738","2019-2023","2022","Census","California (State)"
"Block Group","060670085101","CA","060670085101","=""060670085101""","68745","2019-2023","2022","Census","California (State)"
"Block Group","060670085102","CA","060670085102","=""060670085102""","86017","2019-2023","2022","Census","California (State)"
"Block Group","060670085103","CA","060670085103","=""060670085103""","77067","2019-2023","2022","Census","California (State)"
"Block Group","060670085121","CA","060670085121","=""060670085121""","76459","2019-2023","2022","Census","California (State)"
"Block Group","060670085122","CA","060670085122","=""060670085122""","67182","2019-2023","2022","Census","California (State)"
"Block Group","060670085131","CA","060670085131","=""060670085131""","62090","2019-2023","2022","Census","California (State)"
"Block Group","060670085132","CA","060670085132","=""060670085132""","78792","2019-2023","2022","Census","California (State)"
"Block Group","060670086011","CA","060670086011","=""060670086011""","63537","2019-2023","2022","Census","California (State)"
"Block Group","060670086012","CA","060670086012","=""060670086012""","80197","2019-2023","2022","Census","California (State)"
"Block Group","060670086013","CA","060670086013","=""060670086013""","73713","2019-2023","2022","Census","California (State)"
"Block Group","060670086021","CA","060670086021","=""060670086021""","41609","2019-2023","2022","Census","California (State)"
"Block Group","060670086022","CA","060670086022","=""060670086022""","64761","2019-2023","2022","Census","California (State)"
"Block Group","060670087021","CA","060670087021","=""060670087021""","108504","2019-2023","2022","Census","California (State)"
"Block Group","060670087022","CA","060670087022","=""060670087022""","104682","2019-2023","2022","Census","California (State)"
"Block Group","060670087031","CA","060670087031","=""060670087031""","66294","2019-2023","2022","Census","California (State)"
"Block Group","060670087032","CA","060670087032","=""060670087032""","48191","2019-2023","2022","Census","California (State)"
"Block Group","060670087033","CA","060670087033","=""060670087033""","113972","2019-2023","2022","Census","California (State)"
"Block Group","060670087034","CA","060670087034","=""060670087034""","60534","2019-2023","2022","Census","California (State)"
