"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014069003","CA","060014069003","=""060014069003""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014070001","CA","060014070001","=""060014070001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014070002","CA","060014070002","=""060014070002""","14.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014070003","CA","060014070003","=""060014070003""","14.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014070004","CA","060014070004","=""060014070004""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014070005","CA","060014070005","=""060014070005""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071011","CA","060014071011","=""060014071011""","12.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071012","CA","060014071012","=""060014071012""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071021","CA","060014071021","=""060014071021""","12.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071022","CA","060014071022","=""060014071022""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071023","CA","060014071023","=""060014071023""","12.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014071024","CA","060014071024","=""060014071024""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014072001","CA","060014072001","=""060014072001""","17.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014072002","CA","060014072002","=""060014072002""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014072003","CA","060014072003","=""060014072003""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014072004","CA","060014072004","=""060014072004""","17.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014073001","CA","060014073001","=""060014073001""","14.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014073002","CA","060014073002","=""060014073002""","12.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014074001","CA","060014074001","=""060014074001""","14.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014074002","CA","060014074002","=""060014074002""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014074003","CA","060014074003","=""060014074003""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014075001","CA","060014075001","=""060014075001""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014075002","CA","060014075002","=""060014075002""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014075003","CA","060014075003","=""060014075003""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014076001","CA","060014076001","=""060014076001""","14.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014076002","CA","060014076002","=""060014076002""","12.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014076003","CA","060014076003","=""060014076003""","12.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014076004","CA","060014076004","=""060014076004""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014076005","CA","060014076005","=""060014076005""","14.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014077001","CA","060014077001","=""060014077001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014077002","CA","060014077002","=""060014077002""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014077003","CA","060014077003","=""060014077003""","13.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014077004","CA","060014077004","=""060014077004""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014078001","CA","060014078001","=""060014078001""","13.33","2021","2010","EPA Smart Location Database","California (State)"
