"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040136151001","AZ","040136151001","=""040136151001""","60.34","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136151002","AZ","040136151002","=""040136151002""","63.74","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136152011","AZ","040136152011","=""040136152011""","66.20","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136152012","AZ","040136152012","=""040136152012""","69.45","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136152021","AZ","040136152021","=""040136152021""","87.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136152022","AZ","040136152022","=""040136152022""","65.38","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136152023","AZ","040136152023","=""040136152023""","70.23","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136153001","AZ","040136153001","=""040136153001""","79.14","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136154001","AZ","040136154001","=""040136154001""","66.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136154002","AZ","040136154002","=""040136154002""","78.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136155001","AZ","040136155001","=""040136155001""","75.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136155002","AZ","040136155002","=""040136155002""","75.46","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136156001","AZ","040136156001","=""040136156001""","89.71","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136156002","AZ","040136156002","=""040136156002""","66.39","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136156003","AZ","040136156003","=""040136156003""","43.03","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136157001","AZ","040136157001","=""040136157001""","66.12","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136157002","AZ","040136157002","=""040136157002""","72.22","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136158001","AZ","040136158001","=""040136158001""","89.53","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136158002","AZ","040136158002","=""040136158002""","76.93","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136158003","AZ","040136158003","=""040136158003""","85.17","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136159001","AZ","040136159001","=""040136159001""","82.28","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136159002","AZ","040136159002","=""040136159002""","92.88","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136159003","AZ","040136159003","=""040136159003""","75.12","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136160001","AZ","040136160001","=""040136160001""","76.96","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136160002","AZ","040136160002","=""040136160002""","50.52","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136161001","AZ","040136161001","=""040136161001""","93.83","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136161002","AZ","040136161002","=""040136161002""","79.87","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136161003","AZ","040136161003","=""040136161003""","83.16","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136162001","AZ","040136162001","=""040136162001""","79.35","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136162002","AZ","040136162002","=""040136162002""","84.16","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136163001","AZ","040136163001","=""040136163001""","73.21","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136164001","AZ","040136164001","=""040136164001""","79.28","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136164002","AZ","040136164002","=""040136164002""","52.25","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136164003","AZ","040136164003","=""040136164003""","50.55","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136164004","AZ","040136164004","=""040136164004""","61.33","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136164005","AZ","040136164005","=""040136164005""","26.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136165001","AZ","040136165001","=""040136165001""","78.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136165002","AZ","040136165002","=""040136165002""","81.97","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136165003","AZ","040136165003","=""040136165003""","80.66","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136166001","AZ","040136166001","=""040136166001""","84.72","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136166002","AZ","040136166002","=""040136166002""","85.70","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136166003","AZ","040136166003","=""040136166003""","62.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136166004","AZ","040136166004","=""040136166004""","75.69","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136167001","AZ","040136167001","=""040136167001""","91.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136167002","AZ","040136167002","=""040136167002""","79.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136167003","AZ","040136167003","=""040136167003""","74.83","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136168001","AZ","040136168001","=""040136168001""","90.76","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136168002","AZ","040136168002","=""040136168002""","88.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136168003","AZ","040136168003","=""040136168003""","69.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136168004","AZ","040136168004","=""040136168004""","73.61","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136169001","AZ","040136169001","=""040136169001""","72.92","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136169002","AZ","040136169002","=""040136169002""","59.31","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136169003","AZ","040136169003","=""040136169003""","84.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170011","AZ","040136170011","=""040136170011""","N/A","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170021","AZ","040136170021","=""040136170021""","80.31","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170022","AZ","040136170022","=""040136170022""","86.76","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170023","AZ","040136170023","=""040136170023""","86.81","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170024","AZ","040136170024","=""040136170024""","75.54","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136170025","AZ","040136170025","=""040136170025""","89.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136171001","AZ","040136171001","=""040136171001""","63.09","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136171002","AZ","040136171002","=""040136171002""","75.77","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136172001","AZ","040136172001","=""040136172001""","74.54","2019-2023","2022","Census","Arizona (State)"
