"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","5502","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","5009","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016023","AZ","040030016023","=""040030016023""","5254","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016024","AZ","040030016024","=""040030016024""","5257","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","4166","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","4700","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","4516","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","5200","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","4482","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","4678","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","2323","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","4368","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018001","AZ","040030018001","=""040030018001""","5504","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018002","AZ","040030018002","=""040030018002""","3962","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018003","AZ","040030018003","=""040030018003""","3744","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018004","AZ","040030018004","=""040030018004""","3179","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","2608","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","1720","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","2059","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","2575","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","1761","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","2621","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","1192","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","1428","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","1124","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","818","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","724","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","452","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","438","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","5972","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","10393","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001003","AZ","040050001003","=""040050001003""","7430","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","8713","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","10409","2021","2010","EPA Smart Location Database","Arizona (State)"
