"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Walking to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranw","TimeFrame","GeoVintage","Source","Location"
"Block Group","040210003153","AZ","040210003153","=""040210003153""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003161","AZ","040210003161","=""040210003161""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003162","AZ","040210003162","=""040210003162""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003163","AZ","040210003163","=""040210003163""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003164","AZ","040210003164","=""040210003164""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003171","AZ","040210003171","=""040210003171""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003172","AZ","040210003172","=""040210003172""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003191","AZ","040210003191","=""040210003191""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003201","AZ","040210003201","=""040210003201""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003202","AZ","040210003202","=""040210003202""","22.38","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003211","AZ","040210003211","=""040210003211""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003212","AZ","040210003212","=""040210003212""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003213","AZ","040210003213","=""040210003213""","11.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003221","AZ","040210003221","=""040210003221""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003222","AZ","040210003222","=""040210003222""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003231","AZ","040210003231","=""040210003231""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003232","AZ","040210003232","=""040210003232""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003241","AZ","040210003241","=""040210003241""","2.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003242","AZ","040210003242","=""040210003242""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003243","AZ","040210003243","=""040210003243""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003251","AZ","040210003251","=""040210003251""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003252","AZ","040210003252","=""040210003252""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210004001","AZ","040210004001","=""040210004001""","4.44","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210004002","AZ","040210004002","=""040210004002""","5.93","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210004003","AZ","040210004003","=""040210004003""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210004004","AZ","040210004004","=""040210004004""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210006031","AZ","040210006031","=""040210006031""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210006032","AZ","040210006032","=""040210006032""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210006041","AZ","040210006041","=""040210006041""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210006042","AZ","040210006042","=""040210006042""","10.53","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210007001","AZ","040210007001","=""040210007001""","2.58","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210007002","AZ","040210007002","=""040210007002""","0.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210007003","AZ","040210007003","=""040210007003""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008021","AZ","040210008021","=""040210008021""","1.76","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008022","AZ","040210008022","=""040210008022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008023","AZ","040210008023","=""040210008023""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008041","AZ","040210008041","=""040210008041""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008042","AZ","040210008042","=""040210008042""","8.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008051","AZ","040210008051","=""040210008051""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008052","AZ","040210008052","=""040210008052""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008053","AZ","040210008053","=""040210008053""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008061","AZ","040210008061","=""040210008061""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008062","AZ","040210008062","=""040210008062""","0.81","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008071","AZ","040210008071","=""040210008071""","N/A","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008072","AZ","040210008072","=""040210008072""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008081","AZ","040210008081","=""040210008081""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210008082","AZ","040210008082","=""040210008082""","5.23","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210009021","AZ","040210009021","=""040210009021""","3.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210009031","AZ","040210009031","=""040210009031""","N/A","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210009041","AZ","040210009041","=""040210009041""","11.18","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210010001","AZ","040210010001","=""040210010001""","9.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210010002","AZ","040210010002","=""040210010002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210010003","AZ","040210010003","=""040210010003""","9.97","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210011001","AZ","040210011001","=""040210011001""","8.01","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210011002","AZ","040210011002","=""040210011002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210011003","AZ","040210011003","=""040210011003""","2.28","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210011004","AZ","040210011004","=""040210011004""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210012001","AZ","040210012001","=""040210012001""","2.06","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210012002","AZ","040210012002","=""040210012002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013031","AZ","040210013031","=""040210013031""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013032","AZ","040210013032","=""040210013032""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013051","AZ","040210013051","=""040210013051""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013052","AZ","040210013052","=""040210013052""","2.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013053","AZ","040210013053","=""040210013053""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013054","AZ","040210013054","=""040210013054""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013061","AZ","040210013061","=""040210013061""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013062","AZ","040210013062","=""040210013062""","1.29","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013063","AZ","040210013063","=""040210013063""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013071","AZ","040210013071","=""040210013071""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013072","AZ","040210013072","=""040210013072""","1.33","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013073","AZ","040210013073","=""040210013073""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013081","AZ","040210013081","=""040210013081""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013082","AZ","040210013082","=""040210013082""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013091","AZ","040210013091","=""040210013091""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013092","AZ","040210013092","=""040210013092""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013101","AZ","040210013101","=""040210013101""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210013102","AZ","040210013102","=""040210013102""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014031","AZ","040210014031","=""040210014031""","0.00","2019-2023","2022","Census","Arizona (State)"
