"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Road Network Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","19.27","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","7.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","10.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","15.24","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","5.58","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","8.40","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","8.76","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","5.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","5.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","1.78","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","1.93","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","3.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","0.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","16.23","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","18.52","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001003","AZ","040050001003","=""040050001003""","7.39","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","9.52","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","15.89","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003001","AZ","040050003001","=""040050003001""","13.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003002","AZ","040050003002","=""040050003002""","20.72","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003003","AZ","040050003003","=""040050003003""","35.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003004","AZ","040050003004","=""040050003004""","13.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","17.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","42.80","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","17.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","25.52","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","27.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","5.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","33.79","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","24.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","22.55","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","21.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006001","AZ","040050006001","=""040050006001""","5.91","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006002","AZ","040050006002","=""040050006002""","7.30","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006003","AZ","040050006003","=""040050006003""","14.69","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006004","AZ","040050006004","=""040050006004""","13.97","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","11.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","19.03","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","39.99","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","17.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","13.91","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009001","AZ","040050009001","=""040050009001""","5.68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009002","AZ","040050009002","=""040050009002""","8.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009003","AZ","040050009003","=""040050009003""","15.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","22.54","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","22.97","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","28.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","10.29","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","25.29","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","29.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011021","AZ","040050011021","=""040050011021""","14.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011022","AZ","040050011022","=""040050011022""","11.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011023","AZ","040050011023","=""040050011023""","29.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011024","AZ","040050011024","=""040050011024""","19.49","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012001","AZ","040050012001","=""040050012001""","6.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012002","AZ","040050012002","=""040050012002""","28.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","6.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","6.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","7.45","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","5.26","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","5.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","2.68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","5.26","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","2.86","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","1.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","3.52","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016001","AZ","040050016001","=""040050016001""","2.56","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016002","AZ","040050016002","=""040050016002""","1.73","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016003","AZ","040050016003","=""040050016003""","2.90","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","3.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","4.69","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","3.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","3.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","1.63","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","1.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021001","AZ","040050021001","=""040050021001""","3.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021002","AZ","040050021002","=""040050021002""","25.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021003","AZ","040050021003","=""040050021003""","25.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021004","AZ","040050021004","=""040050021004""","6.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021005","AZ","040050021005","=""040050021005""","13.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021006","AZ","040050021006","=""040050021006""","12.23","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021007","AZ","040050021007","=""040050021007""","1.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022001","AZ","040050022001","=""040050022001""","3.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022002","AZ","040050022002","=""040050022002""","8.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022003","AZ","040050022003","=""040050022003""","11.27","2021","2010","EPA Smart Location Database","Arizona (State)"
